day,open,high,low,close,volume,T_close,T_low,T_high,BorS
20151223,1.09506,1.09568,1.08696,1.09099,104381,1.09542,1.09023,1.09673,1
20151224,1.09087,1.09673,1.09023,1.09542,61213,1.09681,1.09441,1.09922,1
20151228,1.09441,1.09922,1.09441,1.09681,79119,1.0918,1.08988,1.09914,0
20151229,1.09641,1.09914,1.08988,1.0918,92588,1.09312,1.09014,1.09434,1
20151230,1.09214,1.09434,1.09014,1.09312,93678,1.08553,1.08526,1.09368,0
20151231,1.09303,1.09368,1.08526,1.08553,65064,1.08319,1.07808,1.09462,0
20160104,1.08696,1.09462,1.07808,1.08319,157657,1.07463,1.07104,1.08386,0
20160105,1.08274,1.08386,1.07104,1.07463,132148,1.07796,1.07127,1.07992,1
20160106,1.07464,1.07992,1.07127,1.07796,149085,1.09287,1.07707,1.09399,1
20160107,1.07789,1.09399,1.07707,1.09287,177578,1.09245,1.08028,1.09331,1
20160108,1.09243,1.09331,1.08028,1.09245,172677,1.08581,1.08476,1.09697,0
20160111,1.09171,1.09697,1.08476,1.08581,153713,1.0857,1.08193,1.08999,1
20160112,1.08568,1.08999,1.08193,1.0857,159279,1.08757,1.08046,1.0887,1
20160113,1.08579,1.0887,1.08046,1.08757,165166,1.08634,1.08342,1.09429,0
20160114,1.08739,1.09429,1.08342,1.08634,180995,1.09132,1.08543,1.09844,1
20160115,1.08647,1.09844,1.08543,1.09132,184554,1.08941,1.08684,1.09273,0
20160118,1.09206,1.09273,1.08684,1.08941,128405,1.09065,1.08591,1.09389,1
20160119,1.08894,1.09389,1.08591,1.09065,163072,1.08883,1.08769,1.09757,0
20160120,1.09051,1.09757,1.08769,1.08883,192731,1.08726,1.0777,1.09208,0
20160121,1.08876,1.09208,1.0777,1.08726,208483,1.07965,1.07888,1.08763,0
20160122,1.08727,1.08763,1.07888,1.07965,166824,1.08475,1.07886,1.08566,1
20160125,1.07886,1.08566,1.07886,1.08475,153155,1.08683,1.08185,1.0874,1
20160126,1.08474,1.0874,1.08185,1.08683,148872,1.0892,1.08503,1.09163,1
20160127,1.08685,1.09163,1.08503,1.0892,176047,1.0939,1.08694,1.09674,1
20160128,1.08925,1.09674,1.08694,1.0939,170391,1.083,1.08096,1.09483,0
20160129,1.09384,1.09483,1.08096,1.083,209275,1.08873,1.08142,1.09125,1
20160201,1.08297,1.09125,1.08142,1.08873,149000,1.09177,1.08819,1.09397,1
20160202,1.08873,1.09397,1.08819,1.09177,151388,1.11017,1.09034,1.11452,1
20160203,1.09158,1.11452,1.09034,1.11017,200347,1.12067,1.10693,1.12387,1
20160204,1.11016,1.12387,1.10693,1.12067,225670,1.11578,1.11084,1.12468,0
20160205,1.12053,1.12468,1.11084,1.11578,187778,1.11912,1.10862,1.12155,1
20160208,1.11415,1.12155,1.10862,1.11912,189526,1.1294,1.1162,1.13378,1
20160209,1.1191,1.13378,1.1162,1.1294,231650,1.12889,1.11602,1.13111,0
20160210,1.12903,1.13111,1.11602,1.12889,229091,1.13218,1.12736,1.13761,1
20160211,1.12899,1.13761,1.12736,1.13218,253405,1.12503,1.12138,1.13337,0
20160212,1.1322,1.13337,1.12138,1.12503,208619,1.11531,1.11276,1.12495,0
20160215,1.12336,1.12495,1.11276,1.11531,159895,1.11423,1.11239,1.11928,0
20160216,1.1153,1.11928,1.11239,1.11423,168220,1.11267,1.11057,1.11788,0
20160217,1.1142,1.11788,1.11057,1.11267,171604,1.11058,1.10707,1.11493,0
20160218,1.11262,1.11493,1.10707,1.11058,166155,1.11279,1.10664,1.1139,1
20160219,1.11063,1.1139,1.10664,1.11279,157650,1.10281,1.10028,1.11244,0
20160222,1.11111,1.11244,1.10028,1.10281,148917,1.1018,1.09898,1.10524,0
20160223,1.10273,1.10524,1.09898,1.1018,159934,1.10116,1.09571,1.10459,0
20160224,1.10173,1.10459,1.09571,1.10116,176032,1.10168,1.09865,1.10496,1
20160225,1.10137,1.10496,1.09865,1.10168,161055,1.09289,1.09114,1.10679,0
20160226,1.10168,1.10679,1.09114,1.09289,159841,1.08718,1.08589,1.09625,0
20160229,1.0913,1.09625,1.08589,1.08718,161720,1.08656,1.08338,1.08932,0
20160301,1.08751,1.08932,1.08338,1.08656,162277,1.08672,1.08251,1.08807,1
20160302,1.08644,1.08807,1.08251,1.08672,160180,1.09556,1.08533,1.09725,1
20160303,1.08676,1.09725,1.08533,1.09556,154813,1.10064,1.09027,1.1043,1
20160304,1.09556,1.1043,1.09027,1.10064,166289,1.10121,1.09397,1.10255,1
20160307,1.09879,1.10255,1.09397,1.10121,127578,1.10096,1.09933,1.10575,0
20160308,1.10127,1.10575,1.09933,1.10096,142869,1.09981,1.09457,1.10345,0
20160309,1.10095,1.10345,1.09457,1.09981,134225,1.11759,1.08219,1.12177,1
20160310,1.09973,1.12177,1.08219,1.11759,176673,1.11462,1.10801,1.12093,0
20160311,1.11759,1.12093,1.10801,1.11462,150540,1.11012,1.10775,1.11759,0
20160314,1.11444,1.11759,1.10775,1.11012,126959,1.11048,1.10715,1.11248,1
20160315,1.11012,1.11248,1.10715,1.11048,130322,1.1212,1.10575,1.1242,1
20160316,1.11049,1.1242,1.10575,1.1212,146880,1.13151,1.12048,1.13422,1
20160317,1.12123,1.13422,1.12048,1.13151,161014,1.12688,1.12558,1.13365,0
20160318,1.13139,1.13365,1.12558,1.12688,138374,1.12386,1.12344,1.12844,0
20160321,1.12682,1.12844,1.12344,1.12386,115577,1.1215,1.11881,1.12596,0
20160322,1.12386,1.12596,1.11881,1.1215,118534,1.11796,1.11628,1.12231,0
20160323,1.12151,1.12231,1.11628,1.11796,90032,1.11786,1.11439,1.11874,0
20160324,1.11802,1.11874,1.11439,1.11786,104643,1.11613,1.11536,1.11789,0
20160325,1.11786,1.11789,1.11536,1.11613,44288,1.11952,1.11527,1.12197,1
20160328,1.11599,1.12197,1.11527,1.11952,61789,1.12893,1.11687,1.13032,1
20160329,1.1193,1.13032,1.11687,1.12893,141254,1.13387,1.12831,1.13652,1
20160330,1.12896,1.13652,1.12831,1.13387,152441,1.13788,1.13098,1.14115,1
20160331,1.13359,1.14115,1.13098,1.13788,145331,1.13897,1.13344,1.14377,1
20160401,1.13777,1.14377,1.13344,1.13897,159675,1.13888,1.1357,1.14123,0
20160404,1.13994,1.14123,1.1357,1.13888,129438,1.13826,1.13356,1.14049,0
20160405,1.13863,1.14049,1.13356,1.13826,146527,1.13979,1.13262,1.14317,1
20160406,1.13826,1.14317,1.13262,1.13979,149166,1.13767,1.13373,1.14538,0
20160407,1.13975,1.14538,1.13373,1.13767,165801,1.13949,1.13488,1.1419,1
20160408,1.13751,1.1419,1.13488,1.13949,140380,1.14097,1.13721,1.1447,0
20160411,1.14138,1.1447,1.13721,1.14097,126531,1.13835,1.13458,1.14645,0
20160412,1.14052,1.14645,1.13458,1.13835,144272,1.12723,1.1268,1.13909,0
20160413,1.13827,1.13909,1.1268,1.12723,151449,1.12663,1.12335,1.12945,0
20160414,1.12728,1.12945,1.12335,1.12663,137745,1.12827,1.12453,1.13167,1
20160415,1.12616,1.13167,1.12453,1.12827,119351,1.13119,1.12734,1.13317,1
20160418,1.12998,1.13317,1.12734,1.13119,119193,1.13575,1.1303,1.13842,1
20160419,1.13091,1.13842,1.1303,1.13575,121739,1.12952,1.12901,1.13876,0
20160420,1.13566,1.13876,1.12901,1.12952,129773,1.1286,1.12696,1.13985,0
20160421,1.12952,1.13985,1.12696,1.1286,147502,1.12154,1.12154,1.13084,0
20160422,1.12859,1.13084,1.12154,1.12154,143289,1.1266,1.12145,1.12779,1
20160425,1.12167,1.12779,1.12145,1.1266,121976,1.1295,1.12559,1.13394,1
20160426,1.1266,1.13394,1.12559,1.1295,125714,1.13191,1.12713,1.13611,1
20160427,1.12948,1.13611,1.12713,1.13191,130935,1.13509,1.1296,1.13676,1
20160428,1.13199,1.13676,1.1296,1.13509,155058,1.14504,1.1347,1.1459,1
20160429,1.13509,1.1459,1.1347,1.14504,156532,1.15331,1.14479,1.15354,1
20160502,1.14582,1.15354,1.14479,1.15331,131781,1.14949,1.14947,1.16159,0
20160503,1.15331,1.16159,1.14947,1.14949,159309,1.14855,1.14659,1.15292,0
20160504,1.1496,1.15292,1.14659,1.14855,155943,1.14048,1.13856,1.14934,0
20160505,1.14829,1.14934,1.13856,1.14048,129003,1.14009,1.13863,1.14796,0
20160506,1.1404,1.14796,1.13863,1.14009,138429,1.13806,1.1375,1.14194,0
20160509,1.13939,1.14194,1.1375,1.13806,118111,1.13717,1.13583,1.14096,0
20160510,1.13814,1.14096,1.13583,1.13717,117150,1.14251,1.13686,1.14462,1
20160511,1.13691,1.14462,1.13686,1.14251,109956,1.13766,1.13702,1.14288,0
20160512,1.14242,1.14288,1.13702,1.13766,116559,1.13088,1.12825,1.13795,0
20160513,1.13736,1.13795,1.12825,1.13088,133533,1.13193,1.13019,1.1342,1
20160516,1.13098,1.1342,1.13019,1.13193,103765,1.13118,1.13013,1.13482,0
20160517,1.13198,1.13482,1.13013,1.13118,120901,1.12158,1.1214,1.13159,0
20160518,1.13111,1.13159,1.1214,1.12158,142858,1.12019,1.11796,1.12297,0
20160519,1.12144,1.12297,1.11796,1.12019,137597,1.12217,1.1196,1.1237,1
20160520,1.12016,1.1237,1.1196,1.12217,100562,1.1219,1.11873,1.12426,1
20160523,1.12033,1.12426,1.11873,1.1219,105459,1.11393,1.11321,1.12267,0
